,district_Name,property_size,property_price
9297,فيلا للبيع في حي بدر ، الرياض ، الرياض,360 م²,"1,300,000 ريال"
9299,فيلا للبيع في شارع الدوم ، حي طويق ، الرياض ، الرياض,400 م²,"740,000 ريال"
9301,فيلا للبيع في حي الرمال ، الرياض ، الرياض,360 م²,"1,850,000 ريال"
9303,فيلا للبيع في شارع ابو زيد القيرواني ، حي طويق ، الرياض ، الرياض,300 م²,"1,150,000 ريال"
9305,فيلا للبيع في حي ، شارع يحيي بن محمد الغرناطي ، حي العارض ، الرياض ، الرياض,378 م²,"3,100,000 ريال"
9307,فيلا للبيع في الرياض ، حي العزيزية ، الرياض,250 م²,"1,050,000 ريال"
9309,فيلا للبيع في شارع الفىء ، حي طويق ، الرياض ، الرياض,200 م²,"950,000 ريال"
9311,"فيلا للبيع في شارع الأمير متعب بن عبدالعزيز, الربوة, الرياض",910 م²,"4,500,000 ريال"
9313,فيلا للبيع في شارع الامام مسلم ، حي بدر ، الرياض ، الرياض,330 م²,"1,180,000 ريال"
9315,فيلا للبيع في شارع صالح العباسي ، حي السويدي ، الرياض ، الرياض,625 م²,"1,500,000 ريال"
9317,فيلا للبيع في شارع ابها ، حي الملقا ، الرياض ، الرياض,375 م²,"3,900,000 ريال"
9319,فيلا للبيع في حي القادسية ، الرياض ، الرياض,375 م²,"1,800,000 ريال"
9321,فيلا للبيع في شارع احمد بن صفوان المالقي ، حي الرمال ، الرياض ، الرياض,500 م²,"1,850,000 ريال"
9323,فيلا للبيع في شارع احمد بن مجاهد ، حي البديعة ، الرياض ، الرياض,221 م²,"920,000 ريال"
9325,فيلا للبيع في شارع الثمام ، حي الملقا ، الرياض ، الرياض,1501 م²,"14,000,000 ريال"
9327,فيلا للبيع في الرياض ، حي الحزم ، الرياض,200 م²,"900,000 ريال"
9329,"فيلا للبيع في طريق بدون اسم, الرمال, الرياض",300 م²,"1,350,000 ريال"
9331,فيلا للبيع في شارع الحيرة ، حي الملقا ، الرياض ، الرياض,405 م²,"4,500,000 ريال"
9333,فيلا للبيع في شارع الدومات ، حي طويق ، الرياض ، الرياض,200 م²,"950,000 ريال"
9335,فيلا للبيع في شارع منيفة ، حي قرطبة ، الرياض ، الرياض,313 م²,"2,000,000 ريال"
9337,فيلا للبيع في حي بدر ، الرياض ، الرياض,317 م²,"1,050,000 ريال"
9339,فيلا للبيع في شارع القاضي شريح ، حي عكاظ ، الرياض ، الرياض,355 م²,"1,050,000 ريال"
9341,فيلا للبيع في الرياض ، حي الياسمين ، الرياض,362 م²,"3,500,000 ريال"
9343,فيلا للبيع في شارع محمد علي علان ، حي طويق ، الرياض ، الرياض,351 م²,"1,500,000 ريال"
9345,فيلا للبيع في حي بدر ، الرياض ، الرياض,275 م²,"920,000 ريال"
9347,فيلا للبيع في حي العارض ، الرياض ، الرياض,333 م²,"2,500,000 ريال"
9349,فيلا للبيع في شارع القناني ، حي عكاظ ، الرياض ، الرياض,305 م²,"1,070,000 ريال"
9351,فيلا للبيع في شارع الصحابة ، حي المونسية ، الرياض ، الرياض,312 م²,"2,100,000 ريال"
9353,فيلا للبيع في حي الياسمين ، الرياض ، الرياض,375 م²,"4,000,000 ريال"
9355,فيلا للبيع في طريق الإمام عبدالله بن سعود بن عبدالعزيز الفرعي ، حي اليرموك ، الرياض ، الرياض,351 م²,"2,600,000 ريال"
9357,فيلا للبيع في شارع الصفار الذهبي ، حي عكاظ ، الرياض ، الرياض,350 م²,"1,000,000 ريال"
9359,فيلا للبيع في حي ، شارع مهرة ، حي العريجاء الغربية ، الرياض ، الرياض,400 م²,"1,650,000 ريال"
9361,فيلا للبيع في حي الرمال ، الرياض ، الرياض,300 م²,"1,450,000 ريال"
9363,فيلا للبيع في شارع البساتين ، حي الرمال ، الرياض ، الرياض,394 م²,"1,740,000 ريال"
9365,فيلا للبيع في شارع ابراهيم بن عبدالرحمن بن محيذيف ، حي النهضة ، الرياض ، الرياض,340 م²,"1,850,000 ريال"
9367,فيلا للبيع في حي ، الطريق الدائري الجنوبي ، حي شبرا ، الرياض ، الرياض,300 م²,"1,700,000 ريال"
9369,فيلا للبيع في الرياض ، حي بدر ، الرياض,245 م²,"1,000,000 ريال"
9371,فيلا للبيع في شارع الزيني بن ظهيره ، حي ظهرة نمار ، الرياض ، الرياض,300 م²,"1,280,000 ريال"
9373,فيلا للبيع في شارع محمد نور المارديني ، حي طويق ، الرياض ، الرياض,300 م²,"1,220,000 ريال"
9375,فيلا للبيع في شارع رقم 94 ، حي ظهرة لبن ، الرياض ، الرياض,200 م²,"1,300,000 ريال"
9377,فيلا للبيع في شارع محمد سعيد قدسي ، حي طويق ، الرياض ، الرياض,300 م²,"1,080,000 ريال"
9379,فيلا للبيع في شارع الجهاد ، حي طويق ، الرياض ، الرياض,200 م²,"1,000,000 ريال"
9381,فيلا للبيع في شارع قدامه بن جعفر ، حي طويق ، الرياض ، الرياض,250 م²,"1,100,000 ريال"
9383,فيلا للبيع في شارع اسماء بنت مالك ، حي العارض ، الرياض ، الرياض,270 م²,"2,200,000 ريال"
9385,فيلا للبيع في حي بنبان ، الرياض ، الرياض,990 م²,"2,900,000 ريال"
9387,فيلا للبيع في حي بدر ، الرياض ، الرياض,220 م²,"980,000 ريال"
9389,فيلا للبيع في شارع التنهاة ، حي حطين ، الرياض ، الرياض,1200 م²,"18,000,000 ريال"
9391,فيلا للبيع في شارع محمد بن احمد الاسدي ، حي طويق ، الرياض ، الرياض,270 م²,"1,140,000 ريال"
9393,فيلا للبيع في شارع ثابت بن حزم ، حي الخليج ، الرياض ، الرياض,780 م²,"2,400,000 ريال"
9395,فيلا للبيع في شارع عبدالوهاب بن مجاهد ، حي طويق ، الرياض ، الرياض,300 م²,"1,180,000 ريال"
9397,فيلا للبيع في شارع ابن هيجون ، حي طويق ، الرياض ، الرياض,300 م²,"1,225,000 ريال"
9399,فيلا للبيع في شارع الجوال ، حي طيبة ، الرياض ، الرياض,220 م²,"830,000 ريال"
9401,فيلا للبيع في حي الرمال ، الرياض ، الرياض,360 م²,"1,700,000 ريال"
9403,فيلا للبيع في شارع عين نجم ، حي النرجس ، الرياض ، الرياض,325 م²,"2,600,000 ريال"
9405,فيلا للبيع في شارع الربائع ، حي عكاظ ، الرياض ، الرياض,340 م²,"920,000 ريال"
9407,فيلا للبيع في حي المهدية ، الرياض ، الرياض,450 م²,"2,600,000 ريال"
9409,فيلا للبيع في شارع احمد الكلاعي ، حي العارض ، الرياض ، الرياض,280 م²,"1,800,000 ريال"
9411,فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,200 م²,"1,350,000 ريال"
9413,فيلا للبيع في شارع الرمحه ، حي الملقا ، الرياض ، الرياض,437 م²,"4,500,000 ريال"
